job_title,ai_impact,task,ai_model,domain
Video Engineer,0.25,711.00,2095.00,Medical & Healthcare
Welding Supervisor,0.25,234.00,821.00,Supply Chain & Logistics
Account Representative,0.25,211.00,1581.00,Law Enforcement
Area Supervisor,0.25,217.00,1508.00,Construction
Assistant Facility Manager,0.25,231.00,1547.00,Sales & Marketing
Business Support,0.25,269.00,1795.00,Hospitality
Counter Manager,0.25,170.00,1337.00,Communication & PR
Facilitator,0.25,287.00,2002.00,Data & IT
Facilities Management,0.25,261.00,1856.00,Administrative & Clerical
Master Scheduler,0.25,491.00,1471.00,Leadership & Strategy
Office Support,0.25,615.00,1612.00,Medical & Healthcare
Program Officer,0.25,722.00,1874.00,Supply Chain & Logistics
Program Specialist,0.25,737.00,1916.00,Law Enforcement
Recovery Specialist,0.25,569.00,1670.00,Construction
Retention Specialist,0.25,551.00,1584.00,Sales & Marketing
Senior Administrative Assistant,0.25,546.00,1705.00,Hospitality
Study Coordinator,0.25,588.00,1705.00,Communication & PR
Team Coordinator,0.25,598.00,1775.00,Data & IT
Freight Associate,0.25,214.00,1722.00,Administrative & Clerical
Freight Coordinator,0.25,246.00,1828.00,Leadership & Strategy
Loader,0.25,108.00,908.00,Medical & Healthcare
Mover,0.25,165.00,625.00,Supply Chain & Logistics
Parts Runner,0.25,205.00,681.00,Law Enforcement
Transportation Inspector,0.25,257.00,921.00,Construction
Banquet Chef,0.25,131.00,1071.00,Sales & Marketing
Beverage Manager,0.25,166.00,1278.00,Hospitality
Casino,0.25,145.00,1133.00,Communication & PR
Casino Host,0.25,183.00,1397.00,Data & IT
Catering Chef,0.25,137.00,1079.00,Administrative & Clerical
Chef De Cuisine,0.25,132.00,1016.00,Leadership & Strategy
Chef De Partie,0.25,134.00,1050.00,Medical & Healthcare
Crew Chief,0.25,109.00,879.00,Supply Chain & Logistics
Dining Room Manager,0.25,175.00,1342.00,Law Enforcement
Executive Housekeeper,0.25,201.00,1261.00,Construction
Food Prep,0.25,129.00,1314.00,Sales & Marketing
Food Service Supervisor,0.25,195.00,1337.00,Hospitality
Food Service Worker,0.25,154.00,1144.00,Communication & PR
Food Worker,0.25,109.00,864.00,Data & IT
Houseperson,0.25,92.00,844.00,Administrative & Clerical
Kitchen Assistant,0.25,95.00,1082.00,Leadership & Strategy
Kitchen Staff,0.25,96.00,792.00,Medical & Healthcare
Kitchen Steward,0.25,92.00,725.00,Supply Chain & Logistics
Warehouse Technician,0.25,390.00,1182.00,Law Enforcement
Environmental Consultant,0.25,229.00,1840.00,Construction
Organizational Development Consultant,0.25,741.00,2138.00,Sales & Marketing
Service Consultant,0.25,601.00,1719.00,Hospitality
Call Center Agent,0.25,296.00,1897.00,Communication & PR
Call Center Operator,0.25,296.00,1897.00,Data & IT
Collections Agent,0.25,265.00,1744.00,Administrative & Clerical
Customer Support Manager,0.25,281.00,1747.00,Leadership & Strategy
Customer Support Representative,0.25,313.00,1911.00,Medical & Healthcare
Solutions Engineer,0.25,904.00,2370.00,Supply Chain & Logistics
Advertising Sales,0.25,240.00,1570.00,Law Enforcement
Commercial Manager,0.25,264.00,1735.00,Construction
Community Manager,0.25,335.00,1928.00,Sales & Marketing
Digital Producer,0.25,373.00,2471.00,Hospitality
Lead Generator,0.25,479.00,2883.00,Communication & PR
Marketing Associate,0.25,586.00,3251.00,Data & IT
Marketing Communications,0.25,581.00,3233.00,Administrative & Clerical
Marketing Communications Manager,0.25,578.00,3227.00,Leadership & Strategy
Marketing Communications Specialist,0.25,586.00,3251.00,Medical & Healthcare
Marketing Engineer,0.25,590.00,3260.00,Supply Chain & Logistics
Media Director,0.25,770.00,2159.00,Law Enforcement
Media Planner,0.25,813.00,2673.00,Construction
Print Production Manager,0.25,701.00,2336.00,Sales & Marketing
Social Media Director,0.25,1009.00,3039.00,Hospitality
Wedding Planner,0.25,787.00,2506.00,Communication & PR
Product Coordinator,0.25,749.00,2026.00,Data & IT
Project Assistant,0.25,817.00,2252.00,Administrative & Clerical
Bakery Clerk,0.25,138.00,1207.00,Leadership & Strategy
Bench Jeweler,0.25,95.00,766.00,Medical & Healthcare
Grocery Stocker,0.25,147.00,1023.00,Supply Chain & Logistics
Merchandiser,0.25,658.00,1759.00,Law Enforcement
Retail Consultant,0.25,655.00,1808.00,Construction
Retail Merchandiser,0.25,604.00,1578.00,Sales & Marketing
Retail Sales,0.25,572.00,1448.00,Hospitality
Retail Sales Associate,0.25,561.00,1422.00,Communication & PR
Retail Sales Manager,0.25,649.00,1685.00,Data & IT
Retail Salesperson,0.25,558.00,1409.00,Administrative & Clerical
Retail Specialist,0.25,586.00,1618.00,Leadership & Strategy
Sales Merchandiser,0.25,591.00,1562.00,Medical & Healthcare
Stocker,0.25,285.00,1041.00,Supply Chain & Logistics
Visual Merchandising Manager,0.25,760.00,2277.00,Law Enforcement
Boilermaker,0.25,59.00,495.00,Construction
Construction Consultant,0.25,206.00,1450.00,Sales & Marketing
Elevator Mechanic,0.25,58.00,490.00,Hospitality
Home Builder,0.25,199.00,1646.00,Communication & PR
Pipe Fitter,0.25,232.00,879.00,Data & IT
Insurance Verification Specialist,0.25,292.00,2021.00,Administrative & Clerical
Lead Engineer,0.25,291.00,1884.00,Leadership & Strategy
Lead Software Engineer,0.25,287.00,1861.00,Medical & Healthcare
Python Developer,0.25,541.00,1469.00,Supply Chain & Logistics
Senior Software Developer,0.25,952.00,2436.00,Law Enforcement
Senior Software Engineer,0.25,950.00,2434.00,Construction
Software Developer,0.25,946.00,2429.00,Sales & Marketing
Web Architect,0.25,1067.00,2752.00,Hospitality
Business Intelligence Manager,0.25,235.00,1554.00,Communication & PR
Business Process Analyst,0.25,261.00,2008.00,Data & IT
Erp Consultant,0.25,270.00,1842.00,Administrative & Clerical
Microstrategy Developer,0.25,533.00,1457.00,Leadership & Strategy
Research Manager,0.25,994.00,2806.00,Medical & Healthcare
Researcher,0.25,1028.00,2939.00,Supply Chain & Logistics
Senior Analyst,0.25,809.00,2272.00,Law Enforcement
Server Administrator,0.25,884.00,2331.00,Construction
3D Designer,0.25,272.00,1956.00,Sales & Marketing
Junior Designer,0.25,390.00,2388.00,Hospitality
Senior Designer,0.25,907.00,2523.00,Communication & PR
Benefits Specialist,0.25,217.00,1444.00,Data & IT
Driver Recruiter,0.25,175.00,1148.00,Administrative & Clerical
Hr Generalist,0.25,368.00,2189.00,Leadership & Strategy
Human Resources Business Partner,0.25,366.00,2234.00,Medical & Healthcare
Human Resources Executive,0.25,355.00,2093.00,Supply Chain & Logistics
Human Resources Generalist,0.25,371.00,2244.00,Law Enforcement
Medical Recruiter,0.25,800.00,2214.00,Construction
Payroll Manager,0.25,688.00,2069.00,Sales & Marketing
Workforce Manager,0.25,617.00,1757.00,Hospitality
Digital Court Reporter,0.25,200.00,1330.00,Communication & PR
Legal Administrator,0.25,285.00,1844.00,Data & IT
Legal Clerk,0.25,275.00,1582.00,Administrative & Clerical
Legal Editor,0.25,347.00,2167.00,Leadership & Strategy
Legal Officer,0.25,295.00,1961.00,Medical & Healthcare
Personal Injury Attorney,0.25,423.00,1288.00,Supply Chain & Logistics
Trial Attorney,0.25,377.00,1152.00,Law Enforcement
Animal Control Officer,0.25,161.00,1239.00,Construction
Veterinary Assistant,0.25,285.00,898.00,Sales & Marketing
Community Health Worker,0.25,227.00,1556.00,Hospitality
Community Liaison,0.25,246.00,1602.00,Communication & PR
Family Advocate,0.25,295.00,2066.00,Data & IT
Peer Support Specialist,0.25,524.00,1571.00,Administrative & Clerical
Victim Advocate,0.25,462.00,1328.00,Leadership & Strategy
Recreation Specialist,0.25,607.00,1585.00,Medical & Healthcare
Sports,0.25,575.00,1415.00,Supply Chain & Logistics
Apartment Leasing Agent,0.25,240.00,1595.00,Law Enforcement
Apartment Property Manager,0.25,233.00,1537.00,Construction
Commercial Property Manager,0.25,224.00,1516.00,Sales & Marketing
Housing Counselor,0.25,255.00,1802.00,Hospitality
Leasing Agent,0.25,281.00,1933.00,Communication & PR
Leasing Consultant,0.25,280.00,1933.00,Data & IT
Leasing Specialist,0.25,285.00,1943.00,Administrative & Clerical
Regional Property Manager,0.25,627.00,1724.00,Leadership & Strategy
Security Guard,0.25,245.00,869.00,Medical & Healthcare
Senior Planner,0.25,604.00,1618.00,Supply Chain & Logistics
Title Officer,0.25,532.00,1467.00,Law Enforcement
Transaction Coordinator,0.25,652.00,1836.00,Construction
Certified Phlebotomy Technician,0.25,136.00,889.00,Sales & Marketing
Clinical Technician,0.25,154.00,1236.00,Hospitality
Environmental Planner,0.25,268.00,1848.00,Communication & PR
Health Physicist,0.25,233.00,1701.00,Data & IT
Industrial Hygienist,0.25,241.00,1794.00,Administrative & Clerical
Laboratory Manager,0.25,277.00,1897.00,Leadership & Strategy
Library Clerk,0.25,245.00,1394.00,Medical & Healthcare
Meteorologist,0.25,320.00,1074.00,Supply Chain & Logistics
Microbiology Technician,0.25,378.00,1223.00,Law Enforcement
Renewable Energy,0.25,348.00,1115.00,Construction
Scientist,0.25,315.00,1068.00,Sales & Marketing
Seismologist,0.25,268.00,988.00,Hospitality
Accounting Administrator,0.25,219.00,1577.00,Communication & PR
Accounting Director,0.25,194.00,1417.00,Data & IT
Accounts Payable Coordinator,0.25,225.00,1585.00,Administrative & Clerical
Acquisition Specialist,0.25,202.00,1427.00,Leadership & Strategy
Aml Analyst,0.25,205.00,1409.00,Medical & Healthcare
Assistant Controller,0.25,225.00,1504.00,Supply Chain & Logistics
Banking Analyst,0.25,218.00,1530.00,Law Enforcement
Business Banker,0.25,209.00,1452.00,Construction
Commercial Banker,0.25,209.00,1447.00,Sales & Marketing
Economist,0.25,214.00,1450.00,Hospitality
Fund Manager,0.25,285.00,1874.00,Communication & PR
Investment Banker,0.25,277.00,1869.00,Data & IT
Junior Accountant,0.25,282.00,1921.00,Administrative & Clerical
Loan Originator,0.25,292.00,1940.00,Leadership & Strategy
Procurement Administrator,0.25,577.00,1652.00,Medical & Healthcare
Senior Credit Analyst,0.25,571.00,1601.00,Supply Chain & Logistics
Treasurer,0.25,417.00,1271.00,Law Enforcement
Trust Officer,0.25,426.00,1258.00,Construction
Cancer Registrar,0.25,179.00,1323.00,Sales & Marketing
Clinical Liaison,0.25,221.00,1520.00,Hospitality
Pattern Maker,0.25,194.00,1674.00,Communication & PR
Product Design Engineer,0.25,260.00,1939.00,Data & IT
Stock Clerk,0.25,151.00,1036.00,Administrative & Clerical
Center Manager,0.25,209.00,1542.00,Leadership & Strategy
Transportation Supervisor,0.25,179.00,1419.00,Medical & Healthcare
Warehouse Assistant,0.25,167.00,1187.00,Supply Chain & Logistics
DBA,0.25,172.00,1322.00,Law Enforcement
Chief Development Officer,0.25,180.00,1347.00,Construction
Business Director,0.25,186.00,1358.00,Sales & Marketing
Dermatology Nurse Practitioner,0.25,137.00,1167.00,Hospitality
Budtender,0.25,122.00,980.00,Communication & PR
Manufacturing Manager,0.25,194.00,1364.00,Data & IT
Kitchen Designer,0.25,219.00,1889.00,Administrative & Clerical
Chief Nursing Officer,0.25,174.00,1334.00,Leadership & Strategy
Director Of Radiology,0.25,152.00,1122.00,Medical & Healthcare
Health Unit Coordinator,0.25,197.00,1531.00,Supply Chain & Logistics
Hospital Director,0.25,164.00,1291.00,Law Enforcement
Social Work Case Manager,0.25,199.00,1530.00,Construction
Information Officer,0.25,208.00,1454.00,Sales & Marketing
Interaction Designer,0.25,271.00,2044.00,Hospitality
Corporate Recruiter,0.25,222.00,1472.00,Communication & PR
Assistant Front Office Manager,0.25,213.00,1552.00,Data & IT
Facilities Director,0.25,171.00,1283.00,Administrative & Clerical
Operations Team Leader,0.25,193.00,1460.00,Leadership & Strategy
Transportation Planner,0.25,188.00,1413.00,Medical & Healthcare
Screen Printer,0.25,197.00,1708.00,Supply Chain & Logistics
Warehouse Coordinator,0.25,177.00,1198.00,Law Enforcement
District Manager,0.25,198.00,1529.00,Construction
Economic Analyst,0.25,206.00,1401.00,Sales & Marketing
Employee Relations Manager,0.25,212.00,1356.00,Hospitality
Field Manager,0.25,220.00,1459.00,Communication & PR
Field Sales Manager,0.25,222.00,1454.00,Data & IT
Food Service Manager,0.25,222.00,1505.00,Administrative & Clerical
Franchise Manager,0.25,229.00,1480.00,Leadership & Strategy
General Manager,0.25,231.00,1484.00,Medical & Healthcare
Human Resources Manager,0.25,297.00,1994.00,Supply Chain & Logistics
Key Account Manager,0.25,310.00,2020.00,Law Enforcement
Labor Relations Manager,0.25,237.00,1714.00,Construction
Learning And Development Manager,0.25,312.00,2046.00,Sales & Marketing
National Account Manager,0.25,194.00,1208.00,Hospitality
Operations Manager,0.25,232.00,1461.00,Communication & PR
Policy Analyst,0.25,240.00,2019.00,Data & IT
Press Secretary,0.25,241.00,1950.00,Administrative & Clerical
Program Manager,0.24,276.00,2003.00,Leadership & Strategy
Public Relations Manager,0.24,291.00,2380.00,Medical & Healthcare
Real Estate Manager,0.24,272.00,2354.00,Supply Chain & Logistics
Regional Operations Manager,0.24,254.00,1877.00,Law Enforcement
Regional Sales Director,0.24,270.00,1942.00,Construction
Regulatory Affairs Manager,0.24,259.00,1843.00,Sales & Marketing
Sales Manager,0.23,293.00,1997.00,Hospitality
Senior Operations Manager,0.23,260.00,1861.00,Communication & PR
Tour Manager,0.22,192.00,1442.00,Data & IT
Unit Manager,0.22,182.00,1386.00,Administrative & Clerical
Validation Manager,0.22,174.00,1326.00,Leadership & Strategy
Vice President Of Sales,0.22,202.00,1458.00,Medical & Healthcare
Car Dealer,0.22,5.00,20.00,Supply Chain & Logistics
Distribution Supervisor,0.22,8.00,57.00,Law Enforcement
Jewelry Consultant,0.22,155.00,1189.00,Construction
Licensed Customs Broker,0.22,167.00,1252.00,Sales & Marketing
Sales Coach,0.22,285.00,1996.00,Hospitality
Sales Director,0.22,296.00,2158.00,Communication & PR
Sales Supervisor,0.22,295.00,2169.00,Data & IT
Technical Sales,0.22,382.00,2377.00,Administrative & Clerical
Technical Sales Representative,0.22,198.00,1424.00,Leadership & Strategy
Technology Sales,0.22,197.00,1447.00,Medical & Healthcare
Territory Sales Representative,0.22,188.00,1395.00,Supply Chain & Logistics
Wine Sales Representative,0.22,171.00,1321.00,Law Enforcement
Nurse Extern,0.21,133.00,771.00,Construction
Private Duty Nurse,0.21,114.00,1168.00,Sales & Marketing
Student Nurse,0.21,81.00,378.00,Hospitality
Category Manager,0.21,6.00,46.00,Communication & PR
Implementation Manager,0.20,291.00,1948.00,Data & IT
Linguist,0.20,179.00,1299.00,Administrative & Clerical
Safety Technician,0.20,130.00,1135.00,Leadership & Strategy
Trainee,0.20,180.00,1399.00,Medical & Healthcare
Chief Engineer,0.20,6.00,46.00,Supply Chain & Logistics
Cisco Voice Engineer,0.20,6.00,46.00,Law Enforcement
City Engineer,0.20,6.00,46.00,Construction
Civil Project Engineer,0.20,6.00,46.00,Sales & Marketing
Civil Structural Engineer,0.20,6.00,46.00,Hospitality
Construction Engineer,0.20,6.00,42.00,Communication & PR
Corrosion Engineer,0.20,5.00,40.00,Data & IT
Distribution Center Supervisor,0.20,9.00,60.00,Administrative & Clerical
Electrical Engineering,0.20,163.00,1181.00,Leadership & Strategy
Engineering Consultant,0.20,184.00,1269.00,Medical & Healthcare
Engineering Program Manager,0.20,194.00,1364.00,Supply Chain & Logistics
Entry Level Mechanical Engineer,0.20,156.00,1138.00,Law Enforcement
Fire Protection Engineer,0.20,141.00,1086.00,Construction
Geotechnical Engineer,0.20,156.00,1150.00,Sales & Marketing
Highway Engineer,0.20,147.00,1005.00,Hospitality
Industrial Designer,0.20,179.00,1583.00,Communication & PR
Junior Mechanical Engineer,0.20,153.00,1112.00,Data & IT
Lead Mechanical Engineer,0.20,149.00,997.00,Administrative & Clerical
Warehouse Clerk,0.20,169.00,1156.00,Leadership & Strategy
Warehouse Driver,0.20,158.00,1088.00,Medical & Healthcare
Warranty Manager,0.20,192.00,1451.00,Supply Chain & Logistics
Yard Laborer,0.20,159.00,1105.00,Law Enforcement
Yard Manager,0.20,180.00,1227.00,Construction
Yard Supervisor,0.20,171.00,1186.00,Sales & Marketing
Career Coach,0.20,10.00,60.00,Hospitality
Change Management Consultant,0.20,8.00,54.00,Communication & PR
Employment Consultant,0.20,216.00,1431.00,Data & IT
Franchise Consultant,0.20,217.00,1454.00,Administrative & Clerical
Independent Consultant,0.20,294.00,1860.00,Leadership & Strategy
Recruitment Consultant,0.20,288.00,2310.00,Medical & Healthcare
Small Business Consultant,0.20,260.00,2020.00,Supply Chain & Logistics
Call Center Manager,0.20,10.00,60.00,Law Enforcement
Call Center Supervisor,0.20,10.00,60.00,Construction
Contact Center Manager,0.20,10.00,60.00,Sales & Marketing
Customer Experience Manager,0.20,10.00,60.00,Hospitality
Customer Service Consultant,0.20,10.00,60.00,Communication & PR
Customer Service Director,0.20,10.00,60.00,Data & IT
Customer Service Trainer,0.20,10.00,60.00,Administrative & Clerical
Customer Success Manager,0.20,10.00,60.00,Leadership & Strategy
Customer Support Specialist,0.20,10.00,60.00,Medical & Healthcare
Communications Specialist,0.20,9.00,57.00,Supply Chain & Logistics
Content Creator,0.20,11.00,65.00,Law Enforcement
Event Specialist,0.20,306.00,1793.00,Construction
Graphic Designer,0.20,372.00,2526.00,Sales & Marketing
Marketing Administrator,0.20,488.00,3153.00,Hospitality
Marketing Assistant,0.20,488.00,3153.00,Communication & PR
Marketing Coordinator,0.20,492.00,3169.00,Data & IT
Marketing Officer,0.20,496.00,3180.00,Administrative & Clerical
Marketing Specialist,0.20,281.00,2181.00,Leadership & Strategy
Package Designer,0.20,205.00,1483.00,Medical & Healthcare
Promotions Coordinator,0.20,261.00,2125.00,Supply Chain & Logistics
Retail Marketing Manager,0.20,280.00,2109.00,Law Enforcement
Social Media Assistant,0.20,392.00,2696.00,Construction
Social Media Coordinator,0.20,402.00,2716.00,Sales & Marketing
Product Assistant,0.20,221.00,1866.00,Hospitality
Product Specialist,0.20,261.00,2095.00,Communication & PR
Project Specialist,0.20,244.00,1720.00,Data & IT
Dairy Manager,0.20,6.00,46.00,Administrative & Clerical
Grocery Clerk,0.20,141.00,1033.00,Leadership & Strategy
Merchandising Manager,0.20,179.00,1144.00,Medical & Healthcare
Produce Clerk,0.20,104.00,669.00,Supply Chain & Logistics
Retail Assistant,0.20,220.00,1135.00,Law Enforcement
Retail Associate,0.20,221.00,1178.00,Construction
Retail Clerk,0.20,221.00,1139.00,Sales & Marketing
Retail Operations Manager,0.20,260.00,1896.00,Hospitality
Retail Supervisor,0.20,241.00,1727.00,Communication & PR
Sales Assistant,0.20,266.00,1721.00,Data & IT
Store Assistant,0.20,210.00,1097.00,Administrative & Clerical
Store Associate,0.20,208.00,1094.00,Leadership & Strategy
Store Clerk,0.20,208.00,1094.00,Medical & Healthcare
Store Supervisor,0.20,221.00,1317.00,Supply Chain & Logistics
Vendor Manager,0.20,209.00,1480.00,Law Enforcement
Construction Apprentice,0.20,5.00,40.00,Construction
Construction Laborer,0.20,5.00,40.00,Sales & Marketing
Construction Project Coordinator,0.20,6.00,46.00,Hospitality
Construction Project Manager,0.20,6.00,46.00,Communication & PR
Construction Worker,0.20,5.00,40.00,Data & IT
Drywall Finisher,0.20,39.00,433.00,Administrative & Clerical
Field Operator,0.20,114.00,887.00,Leadership & Strategy
Framer,0.20,41.00,439.00,Medical & Healthcare
Installation Technician,0.20,163.00,987.00,Supply Chain & Logistics
Lineman,0.20,100.00,612.00,Law Enforcement
Lineman Apprentice,0.20,98.00,609.00,Construction
Pipe Welder,0.20,102.00,1051.00,Sales & Marketing
Plant Worker,0.20,109.00,1164.00,Hospitality
Claim Adjuster,0.20,7.00,46.00,Communication & PR
Claims Assistant,0.20,7.00,46.00,Data & IT
Claims Processor,0.20,7.00,46.00,Administrative & Clerical
Health Insurance Agent,0.20,256.00,1544.00,Leadership & Strategy
Health Insurance Specialist,0.20,269.00,1663.00,Medical & Healthcare
Insurance Agent,0.20,211.00,1490.00,Supply Chain & Logistics
Insurance Assistant,0.20,207.00,1473.00,Law Enforcement
Neurodiagnostic Technologist,0.20,147.00,969.00,Construction
Nuclear Pharmacist,0.20,143.00,939.00,Sales & Marketing
Nutritionist,0.20,147.00,980.00,Hospitality
Occupational Therapy Aide,0.20,146.00,957.00,Communication & PR
Occupational Therapy Assistant,0.20,152.00,992.00,Data & IT
Oncology Pharmacist,0.20,150.00,946.00,Administrative & Clerical
Ophthalmic Assistant,0.20,165.00,961.00,Leadership & Strategy
Ophthalmic Technician,0.20,171.00,1364.00,Medical & Healthcare
Optometric Assistant,0.20,160.00,955.00,Supply Chain & Logistics
Optometrist Assistant,0.20,146.00,898.00,Law Enforcement
Orderly,0.20,103.00,731.00,Construction
Pacu Rn,0.20,146.00,893.00,Sales & Marketing
Paramedic,0.20,109.00,714.00,Hospitality
Patient Care Manager,0.20,183.00,1082.00,Communication & PR
Patient Care Technician,0.20,177.00,1150.00,Data & IT
Patient Navigator,0.20,195.00,1133.00,Administrative & Clerical
Patient Sitter,0.20,97.00,648.00,Leadership & Strategy
Patient Transport,0.20,128.00,819.00,Medical & Healthcare
Patient Transporter,0.20,129.00,819.00,Supply Chain & Logistics
Pediatric Physician Assistant,0.20,154.00,922.00,Law Enforcement
Personal Care Attendant,0.20,130.00,935.00,Construction
Pharmaceutical Sales,0.20,206.00,1185.00,Sales & Marketing
Pharmacist,0.20,133.00,1367.00,Hospitality
Psychiatric Aide,0.20,121.00,1365.00,Communication & PR
Psychiatric Technician,0.20,124.00,1368.00,Data & IT
Registered Behavior Technician,0.20,126.00,1099.00,Administrative & Clerical
Registered Respiratory Therapist,0.20,125.00,1063.00,Leadership & Strategy
Rehab Technician,0.20,116.00,962.00,Medical & Healthcare
Respiratory Care Practitioner,0.20,98.00,774.00,Supply Chain & Logistics
Respiratory Therapist,0.20,100.00,623.00,Law Enforcement
Speech Pathologist Assistant,0.20,106.00,709.00,Construction
Technologist,0.20,141.00,1182.00,Sales & Marketing
Travel Cna,0.20,141.00,1241.00,Hospitality
Veterinary Technician,0.20,141.00,1168.00,Communication & PR
Control Room Operator,0.20,5.00,40.00,Data & IT
Electric Lineman,0.20,69.00,671.00,Administrative & Clerical
Environmental Services Manager,0.20,177.00,1213.00,Leadership & Strategy
Facility Maintenance Manager,0.20,151.00,1079.00,Medical & Healthcare
Floor Technician,0.20,54.00,517.00,Supply Chain & Logistics
Groundskeeper,0.20,40.00,281.00,Law Enforcement
Gutter,0.20,34.00,427.00,Construction
Health And Safety Manager,0.20,203.00,1303.00,Sales & Marketing
House Painter,0.20,138.00,1136.00,Hospitality
Irrigation Technician,0.20,137.00,922.00,Communication & PR
Janitorial Supervisor,0.20,136.00,966.00,Data & IT
Journeyman Plumber,0.20,114.00,774.00,Administrative & Clerical
Landscape Technician,0.20,139.00,844.00,Leadership & Strategy
Lighting Technician,0.20,209.00,1554.00,Medical & Healthcare
Maintenance Coordinator,0.20,158.00,1227.00,Supply Chain & Logistics
Maintenance Electrician,0.20,141.00,1144.00,Law Enforcement
Maintenance Mechanic,0.20,143.00,1185.00,Construction
Maintenance Supervisor,0.20,147.00,1216.00,Sales & Marketing
Marine Technician,0.20,166.00,1325.00,Hospitality
Mechanical Assembler,0.20,128.00,1127.00,Communication & PR
Mechanical Technician,0.20,157.00,1216.00,Data & IT
Office Technician,0.20,201.00,1413.00,Administrative & Clerical
Operations Technician,0.20,210.00,1433.00,Leadership & Strategy
Optical Technician,0.20,194.00,1415.00,Medical & Healthcare
Parts Manager,0.20,167.00,999.00,Supply Chain & Logistics
Pc Technician,0.20,203.00,1429.00,Law Enforcement
Pipeline Operator,0.20,127.00,1379.00,Construction
Plant Technician,0.20,133.00,1095.00,Sales & Marketing
Pool Manager,0.20,129.00,1087.00,Hospitality
Pool Technician,0.20,110.00,898.00,Communication & PR
Property Caretaker,0.20,126.00,1041.00,Data & IT
Pumper,0.20,104.00,1136.00,Administrative & Clerical
Refrigeration Mechanic,0.20,111.00,1207.00,Leadership & Strategy
Repair Technician,0.20,125.00,1244.00,Medical & Healthcare
Residential Electrician,0.20,77.00,927.00,Supply Chain & Logistics
Roughneck,0.20,57.00,742.00,Law Enforcement
Sheet Metal Mechanic,0.20,79.00,933.00,Construction
Ship Fitter,0.20,69.00,876.00,Sales & Marketing
Slot Technician,0.20,70.00,900.00,Hospitality
Stage Technician,0.20,103.00,1064.00,Communication & PR
Structural Welder,0.20,67.00,879.00,Data & IT
Substation Electrician,0.20,69.00,819.00,Administrative & Clerical
Tig Welder,0.20,126.00,1171.00,Leadership & Strategy
Tower Technician,0.20,132.00,1140.00,Medical & Healthcare
Tradesman,0.20,139.00,1158.00,Supply Chain & Logistics
Wastewater Operator,0.20,159.00,1251.00,Law Enforcement
Water Operator,0.20,155.00,1223.00,Construction
Welder Fabricator,0.20,129.00,1159.00,Sales & Marketing
Window Cleaner,0.20,109.00,1064.00,Hospitality
Camera Operator,0.20,6.00,48.00,Communication & PR
Cmm Operator,0.20,5.00,40.00,Data & IT
Die Maker,0.20,4.00,26.00,Administrative & Clerical
Instrument Fitter,0.20,112.00,716.00,Leadership & Strategy
Machinist,0.20,116.00,776.00,Medical & Healthcare
Material Controller,0.20,151.00,1212.00,Supply Chain & Logistics
Packaging Technician,0.20,151.00,1227.00,Law Enforcement
Parts Driver,0.20,99.00,635.00,Construction
Plant Controller,0.20,185.00,1697.00,Sales & Marketing
Procurement Coordinator,0.20,236.00,1941.00,Hospitality
Product Designer,0.20,265.00,2171.00,Communication & PR
Production Designer,0.20,239.00,2062.00,Data & IT
Production Planner,0.20,197.00,1680.00,Administrative & Clerical
Refinery,0.20,110.00,817.00,Leadership & Strategy
Refinery Operator,0.20,118.00,957.00,Medical & Healthcare
Stockroom Clerk,0.20,183.00,1350.00,Supply Chain & Logistics
Retirement Specialist,0.20,212.00,1613.00,Law Enforcement
Development Associate,0.20,9.00,57.00,Construction
Leasing Manager,0.20,222.00,1703.00,Sales & Marketing
New Home Sales Consultant,0.20,135.00,799.00,Hospitality
Property Administrator,0.20,235.00,2169.00,Communication & PR
Property Management,0.20,257.00,2256.00,Data & IT
Real Estate Consultant,0.20,262.00,2321.00,Administrative & Clerical
Real Estate Salesperson,0.20,251.00,2187.00,Leadership & Strategy
Realtor,0.20,250.00,2186.00,Medical & Healthcare
Residential Director,0.20,212.00,1617.00,Supply Chain & Logistics
Salon Receptionist,0.20,187.00,1029.00,Law Enforcement
Clinical Consultant,0.20,8.00,54.00,Construction
Clinical Research Associate,0.20,8.00,54.00,Sales & Marketing
Conservationist,0.20,6.00,46.00,Hospitality
Ecologist,0.20,145.00,1121.00,Communication & PR
Ehs Manager,0.20,212.00,1361.00,Data & IT
Ehs Specialist,0.20,205.00,1341.00,Administrative & Clerical
Environmental Coordinator,0.20,213.00,1388.00,Leadership & Strategy
Environmental Manager,0.20,205.00,1373.00,Medical & Healthcare
Fisheries Biologist,0.20,140.00,1110.00,Supply Chain & Logistics
Fisheries Technician,0.20,136.00,1095.00,Law Enforcement
Geneticist,0.20,144.00,1161.00,Construction
Geophysicist,0.20,150.00,1174.00,Sales & Marketing
Horticulturist,0.20,168.00,1207.00,Hospitality
Hydrogeologist,0.20,146.00,1120.00,Communication & PR
Hydrologist,0.20,149.00,1126.00,Data & IT
Laboratory Director,0.20,209.00,1442.00,Administrative & Clerical
Laboratory Supervisor,0.20,212.00,1450.00,Leadership & Strategy
Library Assistant,0.20,199.00,1457.00,Medical & Healthcare
Library Associate,0.20,202.00,1461.00,Supply Chain & Logistics
Materials Scientist,0.20,102.00,717.00,Law Enforcement
Microbiologist,0.20,119.00,767.00,Construction
Microbiology Technologist,0.20,133.00,853.00,Sales & Marketing
Molecular Biologist,0.20,115.00,761.00,Hospitality
Molecular Technologist,0.20,120.00,775.00,Communication & PR
